Gene.ID	Gene.Name	AD	BD	AUT	SCH	ASD	Epi	ID	HTN	HD	PD	FTD	MS
3251	HPRT1	.	.	.	.	.	.	.	.	.	.	2	.
210	ALAD	.	.	.	.	.	.	.	2	.	.	.	.
10935	PRDX3	1	.	.	.	.	.	.	.	.	1	.	.
2783	GNB2	.	.	.	1	.	.	.	.	.	.	.	.
9531	BAG3	.	.	.	.	.	.	.	.	.	1	.	.
10550	ARL6IP5	.	.	.	.	.	.	.	2	.	.	.	.
5295	PIK3R1	.	.	.	.	.	.	.	1	.	.	.	.
10675	CSPG5	.	.	.	2	.	.	.	.	.	.	.	.
2280	FKBP1A	1	.	.	.	.	.	.	.	.	1	.	.
3842	TNPO1	.	.	.	.	.	.	.	.	.	.	1	.
387	RHOA	1	.	.	.	.	1	.	1	.	.	.	.
824	CAPN2	1	.	.	.	.	.	.	.	.	.	.	.
6804	STX1A	.	2	1	1	1	1	.	.	.	.	1	.
3736	KCNA1	.	.	.	.	.	2	.	2	.	.	.	.
5058	PAK1	1	.	.	1	.	.	.	.	.	.	.	.
2934	GSN	1	1	.	1	.	1	.	1	.	.	.	.
7332	UBE2L3	.	.	.	.	.	.	.	.	.	1	.	.
3500	IGHG1	2	.	.	.	.	.	.	.	.	.	.	.
3612	IMPA1	.	1	.	.	.	.	.	.	.	.	.	.
259217	HSPA12A	.	.	.	1	.	.	.	.	.	.	.	.
23499	MACF1	.	.	.	1	.	.	.	.	.	.	.	.
50618	ITSN2	.	.	.	1	.	.	.	.	.	.	.	.
5799	PTPRN2	.	1	.	1	.	.	.	.	.	.	.	.
5362	PLXNA2	.	.	.	1	.	.	.	.	.	.	.	.
23037	PDZD2	.	1	.	.	.	.	.	.	.	.	.	.
26037	SIPA1L1	1	.	.	1	.	.	.	.	.	.	.	.
23026	MYO16	1	.	.	1	.	.	.	.	.	.	.	.
1173	AP2M1	.	.	.	1	.	.	.	.	.	.	.	.
22883	CLSTN1	1	.	.	.	.	.	.	.	.	.	.	.
221981	THSD7A	.	.	.	.	.	1	.	.	.	.	.	.
23025	UNC13A	.	.	.	.	.	.	.	.	.	.	1	.
20	ABCA2	2	.	.	.	.	.	.	.	.	.	.	.
23228	PLCL2	.	.	.	1	.	.	.	.	.	.	.	2
23113	CUL9	.	.	.	.	.	.	.	.	.	1	.	.
9439	MED23	.	.	.	.	.	.	1	.	.	.	.	.
57556	SEMA6A	.	2	.	1	.	.	.	.	.	.	.	.
10580	SORBS1	.	.	.	1	.	.	.	1	.	.	.	.
4645	MYO5B	.	.	.	1	.	.	.	.	.	.	.	.
815	CAMK2A	1	.	.	1	.	.	.	.	.	.	1	.
4035	LRP1	1	.	.	1	.	.	.	.	.	.	.	.
1600	DAB1	1	.	1	.	1	.	.	.	.	.	.	.
6457	SH3GL3	.	.	.	1	.	.	.	.	.	.	.	.
57787	MARK4	1	.	.	.	.	.	.	.	.	.	.	.
3178	HNRNPA1	1	.	.	.	.	.	.	.	.	.	1	1
1460	CSNK2B	.	.	.	.	.	.	.	.	.	1	.	.
1457	CSNK2A1	.	.	.	1	.	.	.	.	.	.	.	.
2243	FGA	.	.	.	.	.	.	.	1	.	.	.	.
10989	IMMT	.	.	.	.	.	.	.	.	.	.	1	.
7916	PRRC2A	.	.	.	1	.	.	.	1	.	.	.	.
5859	QARS1	.	.	.	.	.	1	.	.	.	.	.	.
7919	DDX39B	1	.	.	.	.	.	.	.	.	.	.	.
11117	EMILIN1	.	.	.	.	.	.	.	2	.	.	.	.
1994	ELAVL1	1	.	.	.	.	.	.	.	.	.	.	.
5976	UPF1	.	.	.	.	.	1	.	.	.	.	.	.
23248	RPRD2	.	2	2	1	2	.	.	.	.	.	.	.
142	PARP1	1	.	.	.	.	.	.	1	.	1	.	.
348	APOE	1	1	1	1	1	1	.	1	.	1	1	1
4684	NCAM1	1	1	1	1	1	1	.	.	.	.	.	1
1804	DPP6	.	.	.	.	.	.	2	.	.	.	.	1
1272	CNTN1	1	1	.	.	.	.	.	.	.	1	.	1
4099	MAG	.	.	.	1	.	.	.	.	.	.	.	.
4340	MOG	.	1	1	1	1	.	.	.	.	.	.	1
5621	PRNP	1	1	1	1	1	1	.	1	2	.	1	1
1191	CLU	1	.	.	1	.	.	.	1	.	1	.	.
3897	L1CAM	.	.	.	1	.	.	2	.	.	.	.	.
334	APLP2	1	.	.	.	.	.	.	.	.	.	.	.
3309	HSPA5	1	1	.	1	.	.	.	1	.	.	.	.
10539	GLRX3	.	.	.	.	.	.	.	2	.	.	.	.
58512	DLGAP3	.	.	.	1	.	.	.	.	.	.	.	.
1739	DLG1	.	.	.	1	.	.	.	.	.	1	.	.
4750	NEK1	.	.	.	1	.	.	.	.	.	.	.	.
26994	RNF11	.	.	.	.	.	.	.	.	.	1	.	.
10228	STX6	.	.	.	.	.	.	.	.	.	2	.	.
5868	RAB5A	1	.	.	.	.	.	.	.	.	.	.	.
7334	UBE2N	.	.	.	1	.	.	.	.	.	.	.	.
7316	UBC	.	.	.	.	.	1	.	.	.	.	.	.
7431	VIM	1	.	.	1	.	.	.	.	.	.	.	.
9135	RABEP1	1	.	.	.	.	.	.	.	.	.	.	.
4214	MAP3K1	1	.	.	.	.	.	.	.	.	.	.	.
161	AP2A2	1	.	.	.	.	.	.	.	.	.	1	.
5063	PAK3	.	.	.	.	.	.	2	.	.	.	.	.
65125	WNK1	.	.	.	.	.	.	.	1	.	.	.	.
43	ACHE	1	.	.	.	.	.	.	.	.	1	.	.
4130	MAP1A	.	.	.	1	.	.	.	.	.	.	.	.
4915	NTRK2	1	1	1	1	1	1	.	1	.	1	.	1
23095	KIF1B	.	.	.	.	.	.	.	.	.	.	.	1
10376	TUBA1B	.	.	.	1	.	.	.	.	.	.	.	.
2036	EPB41L1	.	.	.	1	.	.	1	.	.	.	.	.
3708	ITPR1	1	.	.	.	.	.	.	.	.	.	.	1
28964	GIT1	.	.	.	.	.	.	.	.	1	.	.	.
1400	CRMP1	.	.	.	1	.	1	.	.	.	.	.	.
9001	HAP1	.	.	.	.	.	.	.	.	1	.	.	.
55660	PRPF40A	.	.	.	.	.	.	.	.	1	.	.	.
3837	KPNB1	.	.	.	.	.	.	.	.	.	.	.	2
4747	NEFL	1	.	.	1	.	.	.	.	.	1	.	1
5764	PTN	.	.	.	1	.	.	.	.	.	.	.	.
3306	HSPA2	.	.	.	.	.	.	.	.	.	.	.	1
4217	MAP3K5	.	.	.	.	.	.	.	.	1	1	.	.
1627	DBN1	1	.	.	.	.	.	.	.	.	.	.	.
2194	FASN	.	.	1	.	1	.	.	.	.	.	.	.
355	FAS	1	.	.	1	.	.	.	1	.	1	.	1
3643	INSR	.	.	.	.	.	1	.	1	.	.	.	.
50807	ASAP1	.	.	.	.	.	.	.	.	.	.	.	1
23390	ZDHHC17	.	.	.	.	.	.	.	.	1	.	.	.
9379	NRXN2	.	.	2	1	2	.	.	.	.	.	.	.
9369	NRXN3	.	.	2	2	2	.	.	.	.	.	.	.
4301	AFDN	.	.	.	.	.	.	.	.	.	2	.	.
3556	IL1RAP	1	.	.	.	.	.	.	.	.	.	.	.
10987	COPS5	.	.	.	.	.	.	.	1	.	.	.	.
10458	BAIAP2	.	.	1	.	1	.	.	.	.	.	.	.
1612	DAPK1	1	1	.	1	.	1	.	.	.	.	1	.
1499	CTNNB1	1	1	1	1	1	.	1	1	.	.	1	.
10469	TIMM44	.	.	.	1	.	.	.	.	.	.	.	.
22800	RRAS2	1	.	.	.	.	1	.	.	.	.	.	.
9463	PICK1	.	.	.	1	.	.	.	.	.	.	.	.
1947	EFNB1	.	.	.	1	.	.	.	.	.	.	.	.
9693	RAPGEF2	.	.	.	.	.	1	.	.	.	.	.	.
163	AP2B1	.	.	.	.	.	.	.	.	.	.	1	.
4297	KMT2A	.	.	.	1	.	.	1	.	.	.	.	.
274	BIN1	1	.	.	.	.	.	.	.	.	.	.	.
6453	ITSN1	1	.	.	.	.	.	.	.	.	.	.	.
57576	KIF17	.	.	.	2	.	.	.	.	.	.	.	.
10188	TNK2	.	.	.	.	.	1	.	.	.	.	.	.
23607	CD2AP	1	.	.	.	.	.	.	.	.	.	.	.
19	ABCA1	1	.	.	1	.	.	.	1	1	.	.	.
2903	GRIN2A	1	1	1	1	1	1	1	.	1	1	.	.
2904	GRIN2B	1	1	1	1	1	1	1	.	1	1	.	1
23327	NEDD4L	.	.	.	.	.	1	.	1	.	.	.	1
29978	UBQLN2	.	.	.	.	.	.	.	.	.	.	1	.
23352	UBR4	.	.	.	.	.	.	2	.	.	.	.	.
10564	ARFGEF2	.	.	.	.	.	1	.	.	1	.	.	.
55729	ATF7IP	.	.	.	.	.	.	1	.	.	.	.	.
1009	CDH11	.	.	2	.	2	.	.	.	.	.	.	.
3915	LAMC1	1	.	.	.	.	.	.	.	.	.	.	.
4881	NPR1	.	.	.	.	.	.	.	2	.	.	.	.
23705	CADM1	2	1	1	1	1	.	.	.	.	.	.	.
1284	COL4A2	.	2	.	1	.	.	.	.	.	.	.	.
161742	SPRED1	.	2	.	.	.	.	.	.	.	.	.	.
22871	NLGN1	.	.	1	.	1	.	.	.	.	.	.	.
6558	SLC12A2	1	.	.	1	.	.	.	1	.	.	.	.
9943	OXSR1	.	.	.	1	.	.	.	.	.	.	.	.
2905	GRIN2C	.	.	.	1	.	.	.	.	.	.	.	.
2906	GRIN2D	.	.	2	1	2	.	.	.	.	.	.	.
324	APC	.	.	1	1	1	.	.	.	1	1	.	.
1080	CFTR	1	.	.	.	.	.	.	1	.	.	.	.
11122	PTPRT	.	.	.	.	.	.	1	.	.	.	.	.
10076	PTPRU	.	.	.	.	.	.	.	1	.	.	.	.
5792	PTPRF	.	.	.	1	.	.	.	1	.	.	.	.
5786	PTPRA	.	.	1	1	1	.	.	.	.	.	.	.
5789	PTPRD	.	.	.	.	.	1	.	.	.	.	.	.
5791	PTPRE	.	.	.	.	.	.	.	.	.	1	.	.
5793	PTPRG	.	.	.	1	.	.	.	.	.	.	.	.
5803	PTPRZ1	.	.	.	1	.	.	.	.	.	.	.	.
3831	KLC1	1	.	.	1	.	.	.	1	.	.	.	1
26354	GNL3	.	2	2	1	2	.	.	.	.	.	.	.
6774	STAT3	.	.	.	.	.	.	.	1	.	.	.	1
3315	HSPB1	.	.	.	.	.	1	.	1	.	.	1	1
5305	PIP4K2A	.	.	.	1	.	.	.	.	.	.	.	.
9844	ELMO1	1	.	.	.	.	.	.	.	.	.	.	.
9138	ARHGEF1	.	.	.	.	.	1	.	1	.	.	.	.
682	BSG	1	.	.	.	.	.	.	1	.	.	.	.
23394	ADNP	2	.	2	2	2	.	1	.	.	.	.	.
9759	HDAC4	.	1	1	1	1	.	1	.	.	.	1	.
5290	PIK3CA	1	1	.	.	.	.	.	.	.	.	.	.
10487	CAP1	.	.	.	1	.	.	.	.	.	.	.	.
1856	DVL2	.	.	.	.	.	1	.	.	.	.	.	.
2335	FN1	.	.	.	.	.	.	.	1	.	.	.	.
5216	PFN1	.	.	.	.	.	.	.	.	.	.	2	.
9588	PRDX6	1	.	.	1	.	.	.	.	.	.	.	.
5321	PLA2G4A	1	.	.	1	.	1	.	.	.	.	.	.
9821	RB1CC1	1	.	.	.	.	.	.	.	.	.	.	.
57655	GRAMD1A	.	.	.	.	.	2	.	.	.	.	.	.
71	ACTG1	.	.	.	1	.	.	.	.	.	.	.	.
506	ATP5F1B	.	.	.	.	.	.	.	1	.	.	.	.
961	CD47	.	.	.	.	.	.	.	2	.	.	.	2
4580	MTX1	.	.	.	.	.	.	.	.	.	2	.	.
5142	PDE4B	.	.	.	2	.	.	.	.	.	.	.	.
3635	INPP5D	1	.	.	.	.	.	.	.	.	.	.	.
527	ATP6V0C	.	.	.	.	.	2	2	.	.	.	.	.
1523	CUX1	.	.	1	.	1	.	.	.	.	.	.	.
6262	RYR2	.	.	2	.	2	.	.	.	.	.	.	.
3939	LDHA	.	.	.	.	.	.	.	.	.	.	2	.
998	CDC42	.	.	.	1	.	1	.	.	.	.	.	.
394	ARHGAP5	.	2	.	2	.	.	.	.	.	.	.	.
10163	WASF2	.	.	.	.	.	.	.	2	.	.	.	.
10142	AKAP9	1	.	.	.	.	.	.	.	.	.	.	.
5594	MAPK1	1	.	.	.	.	.	.	1	.	.	.	1
55845	BRK1	2	.	.	.	.	.	.	.	.	.	.	.
6655	SOS2	1	.	.	.	.	.	.	.	.	.	.	.
9644	SH3PXD2A	.	2	2	1	2	.	.	2	.	.	.	.
1471	CST3	2	.	.	.	.	1	.	2	.	.	.	2
226	ALDOA	.	.	.	1	.	.	.	.	.	.	.	.
1410	CRYAB	1	.	.	1	.	.	.	.	.	.	.	1
3704	ITPA	.	.	.	.	.	2	.	.	.	.	.	.
2534	FYN	1	1	.	1	.	.	.	.	.	.	.	.
11113	CIT	.	2	.	1	.	.	.	.	.	.	.	.
5879	RAC1	1	.	1	.	1	1	.	1	.	.	.	.
7813	EVI5	.	.	.	.	.	.	.	.	.	.	.	2
5747	PTK2	1	.	1	.	1	.	.	.	.	.	.	.
2273	FHL1	.	.	.	.	.	.	2	1	.	.	.	.
801	CALM1	1	.	.	1	.	.	.	.	.	.	.	.
3190	HNRNPK	.	.	.	1	.	.	.	.	.	.	.	.
3732	CD82	.	.	.	1	.	.	.	.	.	.	.	.
5687	PSMA6	.	.	.	.	.	.	.	1	.	.	.	.
5689	PSMB1	.	.	.	.	.	.	.	.	.	1	.	.
6311	ATXN2	.	.	.	1	.	.	.	.	.	1	2	1
2932	GSK3B	1	1	.	1	.	1	.	.	1	1	.	1
2261	FGFR3	.	.	.	.	.	2	.	.	.	.	.	.
11316	COPE	.	.	.	.	.	2	.	.	.	.	.	.
1363	CPE	1	.	.	.	.	.	.	.	.	.	.	.
1915	EEF1A1	.	.	.	.	.	.	1	.	.	.	1	.
5708	PSMD2	.	.	.	.	.	.	.	.	.	1	.	.
7917	BAG6	.	.	.	1	.	.	.	1	.	.	.	1
2597	GAPDH	1	.	.	1	.	.	.	.	1	.	.	1
10399	RACK1	1	2	.	1	.	1	.	.	.	.	.	.
4860	PNP	2	.	.	.	.	.	.	.	.	.	.	.
4905	NSF	.	.	.	.	.	.	.	.	.	1	.	.
5515	PPP2CA	.	.	.	.	.	1	.	.	.	.	.	.
7276	TTR	1	.	.	.	.	.	.	1	.	1	.	1
1114	CHGB	.	.	.	1	.	.	.	1	.	.	.	.
1743	DLST	1	.	.	.	.	.	.	.	.	.	.	.
7277	TUBA4A	.	.	.	.	.	.	.	.	.	.	1	.
2026	ENO2	1	1	.	1	.	.	.	.	.	.	1	.
55186	SLC25A36	.	2	.	.	.	.	.	.	.	.	.	2
2950	GSTP1	1	.	.	1	.	1	.	1	.	2	.	2
3163	HMOX2	1	.	.	.	.	.	.	1	.	2	.	.
3312	HSPA8	1	.	.	1	.	.	.	.	.	1	.	.
81631	MAP1LC3B	.	.	.	.	.	.	1	1	.	.	.	.
4715	NDUFB9	.	.	.	1	.	.	.	.	.	.	.	.
4831	NME2	1	.	.	.	.	.	.	.	.	.	.	.
8575	PRKRA	.	.	.	.	.	.	.	.	.	.	.	2
3921	RPSA	1	.	.	.	.	.	.	1	.	.	.	.
6421	SFPQ	1	.	.	.	.	.	.	.	.	.	2	.
11075	STMN2	.	2	.	.	.	.	.	.	.	.	.	.
10273	STUB1	1	.	.	1	.	.	.	.	.	.	.	.
9638	FEZ1	.	.	.	1	.	.	.	.	.	.	.	.
213	ALB	.	.	.	2	.	2	.	.	2	.	.	.
217	ALDH2	1	1	.	1	.	1	.	1	.	.	.	.
481	ATP1B1	.	.	.	.	.	.	.	1	.	.	.	.
3039	HBA1	.	.	.	.	.	.	.	1	.	.	.	.
546	ATRX	.	.	.	.	.	.	1	.	.	.	.	.
1508	CTSB	1	.	.	.	.	.	.	.	.	1	.	.
55512	SMPD3	2	.	.	1	.	.	.	.	.	.	.	.
2290	FOXG1	.	.	1	.	1	1	2	.	.	.	.	1
2521	FUS	.	.	.	.	.	.	1	.	.	.	1	.
23286	WWC1	1	.	.	1	.	.	.	.	.	.	.	.
4043	LRPAP1	1	.	.	.	.	.	.	.	.	.	.	.
28985	MCTS1	.	.	.	.	.	.	2	.	.	.	.	.
10397	NDRG1	.	2	.	1	.	.	.	.	.	.	.	.
5481	PPID	2	.	.	.	.	.	.	.	.	.	.	.
4841	NONO	.	.	.	1	.	.	.	.	.	.	.	.
3092	HIP1	.	.	.	.	.	1	.	.	1	.	1	.
6189	RPS3A	1	.	.	.	.	.	.	.	.	.	.	.
6275	S100A4	.	.	.	.	.	.	.	1	.	.	.	.
6279	S100A8	.	.	.	.	.	.	.	1	.	.	.	.
8878	SQSTM1	1	.	.	.	.	.	.	.	.	1	1	.
6853	SYN1	1	.	1	1	1	1	.	.	.	.	.	.
7314	UBB	1	.	.	.	.	.	.	.	.	.	.	.
396	ARHGDIA	.	.	.	1	.	.	.	1	.	.	.	.
25978	CHMP2B	2	.	.	.	.	.	.	.	.	1	1	.
25791	NGEF	.	2	2	2	2	.	.	.	.	.	.	.
826	CAPNS1	.	.	.	.	.	2	.	.	.	.	.	.
5955	RCN2	.	.	.	.	.	2	.	.	.	.	.	.
642	BLMH	1	.	.	.	.	.	.	.	.	.	.	.
4646	MYO6	.	.	.	.	.	.	.	1	.	.	.	.
7203	CCT3	.	.	.	1	.	.	.	.	.	.	.	.
1123	CHN1	1	.	.	.	.	.	.	.	.	.	.	.
3703	STT3A	.	2	1	2	1	.	.	.	.	.	.	.
25874	MPC2	.	.	.	2	.	.	.	.	.	.	.	.
335	APOA1	1	.	.	1	.	.	.	1	.	1	.	1
10658	CELF1	1	.	.	.	.	.	.	.	.	.	.	2
51280	GOLM1	1	.	.	.	.	.	.	.	.	.	.	.
3308	HSPA4	1	.	.	.	.	.	.	1	1	1	.	1
3757	KCNH2	2	.	.	1	.	2	.	2	.	.	.	.
2901	GRIK5	.	2	.	.	.	.	.	.	.	.	.	.
4190	MDH1	.	.	.	1	.	.	.	.	.	.	1	.
55968	NSFL1C	.	.	.	1	.	.	.	.	.	.	.	.
23435	TARDBP	1	.	.	.	.	.	2	.	.	1	2	.
23140	ZZEF1	.	2	.	2	.	.	.	.	.	.	.	.
4893	NRAS	.	.	1	.	1	.	.	.	.	.	.	.
6204	RPS10	.	.	.	2	.	.	.	.	.	.	.	.
5478	PPIA	.	.	.	1	.	.	.	.	.	.	.	.
112476	PRRT2	.	.	.	.	.	1	.	.	.	2	1	.
29888	STRN4	.	.	.	.	.	.	1	.	.	.	.	.
26960	NBEA	.	.	2	.	2	.	.	.	.	.	.	.
7280	TUBB2A	.	.	.	1	.	.	.	.	.	.	1	.
1855	DVL1	1	.	.	.	.	.	.	.	.	.	.	.
10476	ATP5PD	1	.	.	1	.	.	.	.	.	.	.	.
10949	HNRNPA0	.	.	.	1	.	.	.	.	.	.	.	.
58477	SRPRB	1	.	.	.	.	.	.	.	.	.	.	.
10059	DNM1L	1	.	.	.	.	.	.	1	1	1	.	.
23136	EPB41L3	.	.	.	1	.	.	.	.	.	.	.	.
2053	EPHX2	2	.	.	2	.	1	.	1	.	.	.	.
10211	FLOT1	1	.	.	.	.	.	.	.	.	.	.	.
2873	GPS1	.	.	.	.	.	.	.	2	.	.	.	.
57498	KIDINS220	1	.	.	.	.	.	.	.	.	.	.	.
6092	ROBO2	.	.	.	1	.	.	.	.	.	.	.	.
6194	RPS6	1	.	.	.	.	.	.	.	.	.	.	.
55229	PANK4	.	.	.	1	.	.	.	.	.	.	.	.
5223	PGAM1	2	.	.	1	.	.	.	.	.	.	.	.
5867	RAB4A	1	.	.	.	.	.	.	.	.	.	.	.
7317	UBA1	.	.	.	.	.	1	.	.	.	.	.	.
2170	FABP3	1	1	2	2	2	.	.	2	.	.	.	.
6197	RPS6KA3	.	.	.	1	.	.	1	.	.	.	.	.
6195	RPS6KA1	.	.	.	.	.	.	2	.	.	.	.	.
641	BLM	1	.	.	1	.	.	.	.	.	.	.	.
10313	RTN3	1	.	.	.	.	.	.	.	.	1	.	.
2947	GSTM3	1	.	.	.	.	.	.	1	.	.	2	.
8996	NOL3	.	.	.	.	.	.	.	2	.	.	.	.
26060	APPL1	1	.	.	.	.	.	.	.	.	.	.	.
60	ACTB	.	.	.	1	.	.	.	.	.	1	.	.
3183	HNRNPC	.	2	.	1	.	.	.	.	.	.	.	.
5300	PIN1	1	.	.	.	.	.	.	1	.	1	1	.
3880	KRT19	.	.	.	.	.	.	.	2	.	.	.	.
10743	RAI1	.	.	.	.	.	.	.	.	.	1	.	.
5704	PSMC4	.	.	.	.	.	.	.	.	.	1	.	.
23410	SIRT3	1	.	.	.	.	.	.	1	.	.	.	.
10919	EHMT2	.	.	.	.	.	.	.	.	.	.	.	2
140885	SIRPA	.	.	.	2	.	.	.	.	.	.	.	.
5528	PPP2R5D	.	.	.	.	.	.	1	.	.	.	.	.
2670	GFAP	1	1	.	1	.	2	.	.	.	1	1	1
55198	APPL2	.	.	.	.	.	.	1	.	.	.	.	.
541468	LURAP1	.	.	.	.	.	.	2	.	.	.	.	.
389	RHOC	.	.	.	.	.	.	.	2	.	.	.	.
4698	NDUFA5	.	.	2	.	2	.	.	.	.	.	.	.
2954	GSTZ1	.	.	.	.	.	.	2	.	.	.	.	.
1454	CSNK1E	.	1	.	1	.	.	.	.	.	.	.	.
10007	GNPDA1	.	.	.	.	.	.	.	.	.	.	.	2
57142	RTN4	1	1	.	1	.	1	.	.	.	.	.	1
1996	ELAVL4	1	.	.	.	.	.	.	.	.	2	.	.
5932	RBBP8	.	.	.	.	.	.	1	.	.	.	.	.
27316	RBMX	.	.	.	.	.	.	1	.	.	.	.	.
1780	DYNC1I1	1	.	.	.	.	.	.	.	.	.	.	.
22978	NT5C2	.	2	2	2	2	.	2	.	.	.	.	.
54472	TOLLIP	1	.	.	.	.	.	.	.	2	.	.	.
23237	ARC	1	2	.	1	.	.	.	.	.	.	.	.
26353	HSPB8	1	.	.	.	.	.	.	.	.	.	.	.
2107	ETF1	.	.	.	1	.	.	.	.	.	.	.	.
3875	KRT18	.	.	.	.	.	.	.	1	.	.	.	.
5725	PTBP1	.	.	.	.	.	.	.	.	.	.	.	1
2752	GLUL	1	.	.	1	.	1	.	.	.	.	.	.
2580	GAK	.	.	.	.	.	.	.	.	.	1	.	.
1453	CSNK1D	1	.	.	.	.	.	.	.	.	.	.	.
8440	NCK2	1	.	.	.	.	.	.	.	.	.	.	.
5700	PSMC1	.	.	.	.	.	.	.	.	.	1	.	.
4830	NME1	1	.	.	.	.	.	.	.	.	.	.	.
216	ALDH1A1	.	1	.	1	.	.	.	.	.	3	.	.
8379	MAD1L1	.	1	1	1	1	.	.	.	.	.	.	.
